IV Measurement
Barcode=33305010000619	DateIV=20160407	TempIV=23.5	HumidityIV=40.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-1.0119930E-11	0.0000000E+0
-1.0000000E+1	2.7537100E-9	0.0000000E+0
-2.0000000E+1	2.9863100E-9	0.0000000E+0
-3.0000000E+1	3.3063300E-9	0.0000000E+0
-4.0000000E+1	3.7171700E-9	0.0000000E+0
-5.0000000E+1	4.3872300E-9	0.0000000E+0
-6.0000000E+1	5.7328700E-9	0.0000000E+0
-7.0000000E+1	1.0922120E-8	0.0000000E+0
-8.0000000E+1	4.3474900E-8	0.0000000E+0
-9.0000000E+1	6.1620000E-8	0.0000000E+0
-1.0000000E+2	2.1602400E-8	0.0000000E+0
-1.1000000E+2	7.7235100E-9	0.0000000E+0
-1.2000000E+2	6.8972100E-9	0.0000000E+0
-1.3000000E+2	6.8634900E-9	0.0000000E+0
-1.4000000E+2	7.1535300E-9	0.0000000E+0
-1.5000000E+2	7.6662500E-9	0.0000000E+0
-1.6000000E+2	8.9018700E-9	0.0000000E+0
-1.7000000E+2	1.0898930E-8	0.0000000E+0
-1.8000000E+2	1.5496570E-8	0.0000000E+0
-1.9000000E+2	2.7938400E-8	0.0000000E+0
-2.0000000E+2	5.3176200E-8	0.0000000E+0
-2.1000000E+2	8.4441400E-8	0.0000000E+0
